,ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,geometry,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
23,30039,0.6268792251034204,0.09375338984364104,0.03602919527049015,0.14144242984178312,0.15356531145767602,0.5705587781775461,0.03592921408568194,,94.82288828337875,90.19073569482289,82.97002724795641,15.53133514986376,25.61307901907357,90.59945504087193,49.86376021798365,449.59128065395095,0.7165318957771787
24,30040,0.1277191313415906,0.08398947554438532,0.03624653929980954,0.07963623296569644,0.045955675554055574,0.13743553685053952,0.0262694110996575,,3.8147138964577656,87.60217983651226,83.2425068119891,3.542234332425068,2.5885558583106265,7.220708446866485,22.070844686648503,210.08174386920982,0.3216531895777179
25,30041,0.16252780434338768,0.0585556651602395,0.01992383748939001,0.05809700047338297,0.044224614489380275,0.08134612366942166,0.023305982510882544,,6.267029972752043,66.2125340599455,38.41961852861036,1.2261580381471389,2.1798365122615806,4.632152588555858,15.39509536784741,134.33242506811987,0.1967654986522911
26,30043,0.39782667964946444,0.14413119005269545,0.05722526056817993,0.08626915659399528,0.06945528721448538,0.7504174345177774,0.026812142906312383,,79.83651226158038,95.91280653950953,93.18801089918256,4.4959128065395095,6.8119891008174385,97.27520435967303,23.705722070844686,401.2261580381471,0.6367924528301886
27,30044,0.578341822606688,0.24061169345056344,0.0986221839263157,0.14955090760630613,0.14685737796171253,0.33676976505307094,0.0265642241203155,,93.46049046321527,98.77384196185287,97.68392370572207,17.438692098092645,23.569482288828336,38.283378746594,22.888283378746593,392.0980926430518,0.6217430368373764
28,30045,0.44119721523819005,0.1332974651166893,0.04869551412090529,0.10502229027264345,0.08882099708373838,0.3246331641873864,0.032967774590855405,,86.23978201634877,94.27792915531334,91.55313351498637,8.310626702997276,9.400544959128066,35.55858310626703,41.416893732970024,366.75749318801087,0.5799640610961364
29,30046,0.5156045295282587,0.17850196138089908,0.07196800938854901,0.14293904867141324,0.12342838085709522,0.610952696640282,0.037613609881146585,,90.32697547683924,97.27520435967303,95.77656675749319,16.212534059945504,18.256130790190735,94.00544959128065,56.67574931880109,468.5286103542234,0.7477538185085354
30,30047,0.5120182942322351,0.21095299619674995,0.10785580405073426,0.1454564022262693,0.11228533685601057,0.2909094406515325,0.03607458292443572,,90.19073569482289,98.36512261580381,98.09264305177112,16.62125340599455,14.850136239782016,25.885558583106267,50.817438692098094,394.82288828337875,0.6262353998203054
31,30052,0.3607959789291343,0.050476537364171674,0.015821344017483155,0.11337918792988684,0.1016254876462939,0.35872789408544153,0.03660389645628697,,73.16076294277929,49.182561307901906,24.38692098092643,9.945504087193461,11.852861035422343,44.4141689373297,53.40599455040872,266.3487738419618,0.4144204851752021
32,30054,0.2436037689240216,0.014596892517211543,0.004100673413340356,0.14480440323593513,0.15512465373961218,0.5787727809099252,0.026524434193455383,,19.07356948228883,2.043596730245232,2.316076294277929,16.4850136239782,26.021798365122617,91.55313351498637,22.752043596730246,180.24523160762942,0.2724618149146451
33,30055,0.1964332784184514,0.0482415133907117,0.021031936738171175,0.16732690534917907,0.16402213178471808,0.5288911050116673,0.03513430071009571,,9.809264305177111,43.869209809264305,41.689373297002724,22.888283378746593,30.79019073569482,86.10354223433242,47.82016348773842,282.9700272479564,0.4418238993710692
34,30056,0.2517026427731016,0.05296481627209871,0.026545482942770125,0.20031078925048784,0.19374128284463824,0.5136516911478499,0.040341990052032,,20.980926430517712,55.858310626702995,62.67029972752044,36.10354223433242,53.81471389645777,82.97002724795641,66.4850136239782,378.8828337874659,0.5999550763701706
35,30058,0.9307362640182719,0.027539571091630424,0.00808463646402814,0.1573632212964635,0.19130528820157888,0.7562348296924595,0.02529886016124548,,99.31880108991825,8.85558583106267,8.174386920980927,19.891008174386922,51.63487738419619,97.54768392370572,19.346049046321525,304.7683923705722,0.4777628032345013
36,30060,0.4840012215398188,0.24477739726027398,0.1271771037181996,0.2285657074877207,0.15875834200697975,0.2980524811331019,0.016119909502262445,,88.69209809264305,98.91008174386921,98.6376021798365,66.4850136239782,28.337874659400544,27.79291553133515,3.8147138964577656,412.67029972752044,0.6556603773584905
37,30062,0.2708531339102596,0.07390803296051798,0.026785416902590613,0.09418240772160012,0.06763470900178999,0.2254140138814469,0.02159964735269628,,32.833787465940055,83.65122615803814,63.35149863760218,6.67574931880109,6.67574931880109,13.623978201634877,11.852861035422343,218.66485013623975,0.33580413297394424
38,30064,0.4009012269716602,0.1294996164340995,0.05894291179926394,0.11625778616187746,0.09846169782980266,0.27597147779479325,0.02585496866606983,,80.24523160762942,94.00544959128065,93.8692098092643,10.762942779291553,10.354223433242506,20.844686648501362,20.844686648501362,330.92643051771114,0.5208894878706198
39,30066,0.27956327097139955,0.07556764304396303,0.02497733595923599,0.08664704674560263,0.060917343526039176,0.27983521013929225,0.022265283635396482,,36.37602179836512,84.87738419618529,57.62942779291553,4.632152588555858,5.040871934604905,21.934604904632153,13.079019073569482,223.5694822888283,0.3438903863432165
40,30067,0.4525582300196311,0.1374242250943612,0.06511876167600747,0.1689605569269566,0.1192310913811877,0.11600667820121655,0.03176925488556798,,87.05722070844686,95.36784741144415,95.09536784741144,23.569482288828336,17.029972752043598,5.994550408719346,38.828337874659404,362.9427792915531,0.5736747529200358
41,30068,0.20285429954313114,0.06208516042460403,0.021493781899216448,0.078661864963421,0.05436039787184825,0.16600941088185858,0.017355953404737706,,10.08174386920981,69.48228882833787,44.141689373297005,3.4059945504087192,3.678474114441417,8.719346049046322,4.768392370572207,144.27792915531333,0.213162623539982
42,30070,0.5279661016949152,0.02487291212781409,0.010167029774872912,0.1862845445240532,0.273972602739726,1.1086836012652037,0.07074235807860262,,91.28065395095368,7.220708446866485,11.716621253405995,27.79291553133515,98.09264305177112,99.59128065395096,99.7275204359673,435.42234332425073,0.6931716082659479
43,30071,0.5302254886870863,0.366293493443409,0.17386953530552254,0.19661904578535946,0.1603336422613531,0.29836365777765955,0.0277878898191967,,91.55313351498637,99.7275204359673,99.59128065395096,33.2425068119891,28.74659400544959,27.929155313351497,26.430517711171664,407.2207084468665,0.6466756513926325
44,30072,0.852603706972639,0.020012911555842477,0.01630083925112976,0.3700868541145297,0.36669213139801377,1.1864628463990845,0.05784313725490196,,98.6376021798365,3.678474114441417,25.885558583106267,99.04632152588556,99.86376021798365,99.7275204359673,98.36512261580381,525.2043596730244,0.8411949685534589
45,30075,0.16078878713943195,0.06862293867379127,0.029894141287143162,0.05160578443126479,0.028230312297829796,0.026001614666000296,0.024176991150442476,,6.130790190735695,77.79291553133515,72.47956403269755,0.6811989100817438,1.0899182561307903,3.1335149863760217,16.757493188010898,178.06539509536788,0.26886792452830194
46,30076,0.26266857962697276,0.17878174170431532,0.10366100638728774,0.11586411657034144,0.07287154521409131,0.12412346766157625,0.026894233255753814,,26.158038147138964,97.41144414168937,97.95640326975477,10.490463215258856,7.493188010899183,6.67574931880109,23.841961852861036,270.0272479564033,0.4204851752021564
47,30078,0.47056339217839344,0.09492849815965727,0.03139141977915887,0.10521390184762418,0.10462704067827185,0.3337631590702661,0.031313131313131314,,88.0108991825613,90.32697547683924,75.47683923705722,8.446866485013624,12.534059945504087,37.32970027247956,36.920980926430516,349.04632152588556,0.5507637017070979
48,30079,0.5344148055063689,0.09739531405782652,0.03769940179461615,0.2794591484464902,0.1570815450643777,0.27131549602183713,0.018874172185430464,,91.96185286103542,90.87193460490464,85.55858310626704,94.00544959128065,27.111716621253407,20.435967302452315,6.539509536784741,416.4850136239782,0.6619496855345911
49,30080,0.5230891995975436,0.16463880709228745,0.08012029321471086,0.16675006109126453,0.10517136590650847,0.11509928411530557,0.02837829608428232,,91.14441416893733,96.73024523160763,96.59400544959128,22.3433242506812,12.670299727520437,5.858310626702997,27.247956403269754,352.5885558583106,0.5566037735849055
50,30082,0.5164729348648462,0.1371313057061472,0.06285031700817789,0.1339394149692911,0.10601272672178694,0.028370435383919784,0.029467266656989403,,90.46321525885558,94.95912806539509,94.82288828337875,13.760217983651225,12.942779291553133,3.2697547683923704,31.88010899182561,342.09809264305176,0.5393081761006289
51,30083,0.8015857117251995,0.044669147017872224,0.018967839127159845,0.269370736209988,0.25407771647877186,0.5339297845285582,0.031288800595977155,,97.68392370572207,35.42234332425068,35.42234332425068,90.59945504087193,96.45776566757493,87.32970027247957,36.78474114441417,479.70027247956403,0.7661725067385444
52,30084,0.49446853392710655,0.20813920924667126,0.12388299091117391,0.17364443448836908,0.12519208454856212,0.15104429262328345,0.022824846475735013,,88.96457765667574,98.09264305177112,98.36512261580381,24.659400544959126,18.52861035422343,7.629427792915531,14.44141689373297,350.6811989100817,0.5534591194968552
53,30087,0.6930428134556575,0.08039255311086974,0.03691868542703413,0.1321160430055859,0.1182941276019631,0.2515508737676726,0.03407462203523048,,96.04904632152588,86.64850136239782,84.33242506811989,13.35149863760218,16.62125340599455,16.62125340599455,44.141689373297005,357.76566757493185,0.5651392632524707
