TRACT,ZIP_CODE
010100,30295
010400,30295
040509,30296
040510,30296
040512,30296
040513,30296
040514,30296
010508,30296
010515,30296
010516,30296
040202,30297
040302,30297
040303,30297
040306,30297
040307,30297
040308,30297
040407,30297
040410,30297
040414,30297
040416,30297
001800,30303
001900,30303
002100,30303
002800,30303
003500,30303
004400,30303
011900,30303
012000,30303
009000,30305
009300,30305
009501,30305
009502,30305
009601,30305
009602,30305
009603,30305
009801,30305
009802,30305
009900,30305
010001,30305
020100,30306
020200,30306
021502,30306
021504,30306
022401,30306
022403,30306
000100,30306
000200,30306
001400,30306
001500,30306
001600,30306
020200,30307
020300,30307
020400,30307
020500,30307
020600,30307
022401,30307
022402,30307
022403,30307
001500,30307
001600,30307
003000,30307
003100,30307
001001,30308
001201,30308
001202,30308
001300,30308
001700,30308
001800,30308
001900,30308
002800,30308
000400,30309
000500,30309
001001,30309
001100,30309
001201,30309
001202,30309
001300,30309
008902,30309
009101,30309
009102,30309
009200,30309
003900,30310
004000,30310
004100,30310
004200,30310
004300,30310
004400,30310
005700,30310
005800,30310
006000,30310
006100,30310
006200,30310
006300,30310
006500,30310
006601,30310
006602,30310
007500,30310
007603,30310
008000,30310
008101,30310
008102,30310
006100,30311
007602,30311
007603,30311
007604,30311
007704,30311
007705,30311
007807,30311
007808,30311
007900,30311
008000,30311
008101,30311
008102,30311
008201,30311
001700,30312
001800,30312
002800,30312
002900,30312
003200,30312
003500,30312
004400,30312
004800,30312
004900,30312
005000,30312
005200,30312
005300,30312
005700,30312
006900,30312
011900,30312
012000,30312
001002,30313
001900,30313
002100,30313
002600,30313
003500,30313
003600,30313
004300,30313
002300,30314
002400,30314
002500,30314
002600,30314
003600,30314
003700,30314
003800,30314
003900,30314
004000,30314
004300,30314
008102,30314
008301,30314
008302,30314
008400,30314
011800,30314
023802,30315
005300,30315
005501,30315
005502,30315
006300,30315
006400,30315
006700,30315
006801,30315
006802,30315
006900,30315
007001,30315
007002,30315
007100,30315
007300,30315
007400,30315
007500,30315
011100,30315
012000,30315
020500,30316
020802,30316
020900,30316
023423,30316
023700,30316
023801,30316
023802,30316
023803,30316
003100,30316
003200,30316
005000,30316
005200,30316
006900,30316
020500,30317
020600,30317
020700,30317
020801,30317
020802,30317
020900,30317
022900,30317
023101,30317
023601,30317
023700,30317
980000,30317
003100,30317
000500,30318
000600,30318
000700,30318
001001,30318
001002,30318
002300,30318
007807,30318
008201,30318
008301,30318
008400,30318
008500,30318
008601,30318
008602,30318
008700,30318
008800,30318
008902,30318
008903,30318
008904,30318
009000,30318
011800,30318
021101,30319
021102,30319
021202,30319
021209,30319
021405,30319
021411,30319
021412,30319
021413,30319
021415,30319
021416,30319
021417,30319
009404,30319
009602,30319
010002,30319
010115,30319
022402,30322
021415,30324
021502,30324
000100,30324
000200,30324
009102,30324
009200,30324
009402,30324
009403,30324
009404,30324
009403,30326
009602,30326
010001,30326
010002,30326
008904,30327
009700,30327
009801,30327
009802,30327
009900,30327
010206,30327
010211,30327
010212,30327
010110,30328
010117,30328
010121,30328
010122,30328
010123,30328
010204,30328
010205,30328
010210,30328
021410,30329
021413,30329
021414,30329
021415,30329
021417,30329
021502,30329
021503,30329
021504,30329
021603,30329
021604,30329
021605,30329
022402,30329
007703,30331
007705,30331
007706,30331
007802,30331
007805,30331
007806,30331
007807,30331
007808,30331
007900,30331
008202,30331
008602,30331
010301,30331
010303,30331
010304,30331
000600,30332
001002,30332
003500,30334
007805,30336
008202,30336
010303,30336
980000,30337
010507,30337
010601,30337
010603,30337
010604,30337
011305,30337
012300,30337
980000,30337
021210,30338
021211,30338
021213,30338
021214,30338
021215,30338
021216,30338
021217,30338
021218,30338
021305,30338
021306,30338
010110,30338
010122,30338
030320,30339
030339,30339
030344,30339
030345,30339
031205,30339
031207,30339
031208,30339
031211,30339
031212,30339
010206,30339
021301,30340
021303,30340
021306,30340
021307,30340
021705,30340
021808,30340
021809,30340
021812,30340
021813,30340
021814,30340
050304,30340
050306,30340
021202,30341
021204,30341
021208,30341
021209,30341
021301,30341
021307,30341
021308,30341
021409,30341
021410,30341
021412,30341
021705,30341
021706,30341
021808,30341
021809,30341
021810,30341
009802,30342
009900,30342
010001,30342
010002,30342
010113,30342
010114,30342
010115,30342
010211,30342
010212,30342
007705,30344
