ZIPCODE,RACE: Total: Total population -- (Estimate),POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate),RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate),PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate),RACE: Non White alone: Total population -- (Estimate),RACE: Total: Total population -- (Estimate)_PERCENTILE,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate)_PERCENTILE,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate)_PERCENTILE,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate)_PERCENTILE,RACE: Non White alone: Total population -- (Estimate)_PERCENTILE
30122,37235.0,37031.0,13604.0,37009.0,21703.0,15.258855585831062,15.940054495912806,16.076294277929154,16.076294277929154,32.42506811989101
30124,10938.0,10791.0,4432.0,10760.0,4586.0,4.768392370572207,4.768392370572207,4.9046321525885554,4.768392370572207,8.719346049046322
30125,332334.0,319060.0,118522.0,317729.0,95576.0,95.64032697547684,95.77656675749319,95.2316076294278,95.77656675749319,92.23433242506812
30126,72908.0,72638.0,26760.0,72497.0,41726.0,37.19346049046322,39.1008174386921,38.41961852861036,39.1008174386921,58.71934604904632
30127,115764.0,115209.0,38856.0,115148.0,50431.0,58.17438692098093,59.536784741144416,56.130790190735695,59.80926430517711,69.34604904632153
30132,84840.0,83590.0,28054.0,83568.0,19529.0,43.73297002724796,44.6866485013624,40.32697547683924,44.6866485013624,29.564032697547685
30134,76191.0,75235.0,25522.0,75198.0,32310.0,38.69209809264305,39.782016348773844,35.967302452316076,40.05449591280654,49.86376021798365
30135,83719.0,83260.0,27495.0,83228.0,37994.0,42.915531335149865,44.55040871934605,39.91825613079019,44.55040871934605,54.35967302452316
30137,5417.0,5394.0,1883.0,5394.0,746.0,1.3623978201634876,1.9073569482288828,1.9073569482288828,1.9073569482288828,1.0899182561307903
30139,141899.0,137983.0,50805.0,137433.0,29002.0,66.62125340599455,67.3024523160763,66.62125340599455,67.16621253405995,46.59400544959128
30141,63120.0,62811.0,21496.0,62772.0,21273.0,30.517711171662125,32.833787465940055,28.61035422343324,32.69754768392371,31.607629427792915
30143,193125.0,187276.0,70140.0,186714.0,36477.0,77.9291553133515,78.33787465940054,78.2016348773842,78.33787465940054,53.40599455040872
30144,98161.0,94879.0,35539.0,94784.0,31001.0,51.08991825613079,51.08991825613079,51.63487738419619,51.22615803814714,48.91008174386921
30145,242893.0,234799.0,90519.0,234731.0,70934.0,85.69482288828338,85.96730245231608,85.96730245231608,86.10354223433242,81.33514986376022
30147,85448.0,84754.0,32921.0,84660.0,20455.0,44.00544959128065,45.36784741144414,47.82016348773842,45.776566757493185,30.245231607629428
30148,120669.0,117010.0,43435.0,116476.0,25994.0,60.6267029972752,60.490463215258856,60.490463215258856,60.35422343324251,42.23433242506812
30149,26320.0,22160.0,9209.0,22145.0,8017.0,12.26158038147139,10.490463215258856,11.716621253405995,10.490463215258856,15.39509536784741
30152,99645.0,96240.0,34077.0,96081.0,24011.0,52.17983651226158,51.63487738419619,50.2724795640327,51.771117166212534,37.32970027247956
30153,272634.0,258378.0,95041.0,257846.0,81950.0,88.96457765667574,88.96457765667574,87.87465940054496,88.96457765667574,87.46594005449592
30157,103277.0,101952.0,34329.0,101835.0,25732.0,53.54223433242507,54.35967302452316,50.40871934604905,55.0408719346049,41.689373297002724
30161,235816.0,224246.0,92119.0,223911.0,89806.0,84.33242506811989,84.0599455040872,86.64850136239782,84.19618528610354,89.64577656675749
30164,9851.0,9724.0,3238.0,9724.0,2252.0,4.087193460490464,4.223433242506812,3.678474114441417,4.223433242506812,4.223433242506812
30165,249424.0,242169.0,94898.0,241747.0,70736.0,86.92098092643052,86.92098092643052,87.73841961852861,86.92098092643052,80.92643051771117
30168,59818.0,59613.0,22115.0,59613.0,39934.0,28.88283378746594,30.108991825613078,29.97275204359673,30.245231607629428,56.53950953678474
30170,94196.0,92239.0,35392.0,91698.0,24796.0,49.45504087193461,50.13623978201635,51.49863760217983,50.13623978201635,39.91825613079019
30171,47533.0,47478.0,17617.0,47410.0,4656.0,20.844686648501362,22.070844686648503,22.47956403269755,22.070844686648503,8.85558583106267
30173,80938.0,80228.0,30894.0,80153.0,17085.0,41.689373297002724,42.50681198910082,43.869209809264305,42.643051771117165,25.61307901907357
30175,57979.0,56210.0,22350.0,56179.0,5535.0,27.929155313351497,27.6566757493188,30.653950953678475,27.79291553133515,10.354223433242506
30176,161178.0,158247.0,59026.0,157518.0,47472.0,71.11716621253406,71.7983651226158,71.38964577656675,71.66212534059946,66.07629427792915
30177,5888.0,5888.0,2091.0,5861.0,390.0,1.6348773841961852,2.316076294277929,2.1798365122615806,2.1798365122615806,0.4087193460490463
30178,73575.0,71160.0,26610.0,71144.0,17079.0,37.46594005449591,37.87465940054496,37.87465940054496,37.87465940054496,25.47683923705722
30179,203662.0,199911.0,73481.0,199026.0,65257.0,79.83651226158038,79.83651226158038,79.42779291553134,79.83651226158038,77.9291553133515
30180,89247.0,88604.0,31001.0,88562.0,22444.0,46.73024523160763,49.04632152588556,44.27792915531335,49.182561307901906,33.787465940054496
30182,83091.0,81960.0,30700.0,81661.0,25318.0,42.50681198910082,43.18801089918256,43.32425068119891,43.18801089918256,41.28065395095368
30183,36373.0,35472.0,13529.0,35472.0,5125.0,14.713896457765667,14.713896457765667,15.258855585831062,14.713896457765667,9.536784741144414
30184,86538.0,83772.0,30626.0,83676.0,23008.0,44.9591280653951,44.822888283378745,43.18801089918256,44.822888283378745,35.14986376021798
30185,21463.0,20699.0,7437.0,20668.0,3895.0,9.536784741144414,9.945504087193461,9.264305177111716,9.945504087193461,7.493188010899183
30187,31066.0,30753.0,10719.0,30743.0,9305.0,13.760217983651225,13.760217983651225,13.079019073569482,13.760217983651225,16.4850136239782
30188,107645.0,107461.0,38198.0,107427.0,15661.0,55.177111716621255,56.94822888283379,55.3133514986376,57.356948228882835,24.250681198910083
30189,50071.0,49574.0,17810.0,49545.0,7596.0,22.615803814713896,23.43324250681199,22.752043596730246,23.569482288828336,14.30517711171662
30204,341618.0,329250.0,123340.0,328104.0,94536.0,96.04904632152588,96.18528610354224,95.77656675749319,96.18528610354224,91.68937329700273
30205,13665.0,13665.0,4791.0,13665.0,870.0,5.177111716621253,5.449591280653951,5.177111716621253,5.449591280653951,1.2261580381471389
