ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
30512,0.029955067398901646,0.02587218857116026,0.015025590458750059,0.13116430397397164,0.10424884481009805,0.11772056667049208,0.008212073188301397,1.7513134851138354,34.67600700525394,53.41506129597198,25.21891418563923,23.117338003502628,29.7723292469352,9.106830122591944,177.05779334500875,0.15570599613152797
30513,0.026244343891402715,0.030699666825321277,0.013089005235602094,0.19247411528357286,0.14377880184331798,0.6474006518947749,0.01971326164874552,1.4010507880910683,43.08231173380035,49.91243432574431,49.03677758318739,37.828371278458846,78.98423817863397,30.472854640980735,290.71803852889667,0.36492585428755636
30517,0.09877670257440205,0.07484326018808778,0.03800940438871473,0.12868387332967235,0.07523862998315553,0.3338440716055058,0.028739386022207707,12.609457092819614,74.78108581436076,79.33450087565674,23.642732049036777,14.8861646234676,49.56217162872154,53.94045534150613,308.7565674255692,0.3981302385557704
30518,0.2733956999835877,0.17441025551216266,0.08519990893329364,0.10071407319250224,0.09510968210340714,0.2555162789472991,0.020516351118760757,42.556917688266196,93.87040280210158,92.99474605954465,15.761821366024519,21.19089316987741,40.63047285464098,33.45008756567425,340.45534150612957,0.4564796905222435
30519,0.3060640535043265,0.10134254800883702,0.040956211408825695,0.09264713663380307,0.05640217200910842,0.5117095877161165,0.032877333534880204,47.8108581436077,84.93870402802102,81.9614711033275,13.309982486865149,8.231173380035026,69.35201401050789,61.47110332749562,367.0753064798599,0.5054803352675692
30521,0.1618221995580486,0.04144507610489639,0.008802494039977994,0.283419689119171,0.2525399129172714,0.32983447719014936,0.009060022650056626,24.518388791593694,53.06479859894921,36.77758318739054,80.38528896672504,81.78633975481611,48.86164623467601,9.807355516637479,335.2014010507881,0.4468085106382978
30523,0.053198031980319804,0.06015218261914297,0.03131758109731678,0.1256860592755214,0.13015688553166763,0.7310472231843897,0.022222222222222223,6.479859894921191,66.37478108581436,74.25569176882662,22.591943957968475,32.22416812609457,83.71278458844134,37.65323992994746,323.29246935201405,0.4248871695680206
30525,0.08548672566371682,0.09380725540491022,0.05368266764382558,0.1888495575221239,0.13260340632603407,0.0,0.002328288707799767,11.38353765323993,83.18739054290718,87.39054290718039,48.161120840630474,32.9246935201401,24.16812609457093,4.028021015761821,291.2434325744308,0.3658929722759509
30527,0.01055594651653765,0.0052251803931326205,0.0,0.04158790170132325,0.06882859033752482,0.8697098621285307,0.017884914463452566,0.17513134851138354,6.654991243432574,8.93169877408056,1.4010507880910683,12.609457092819614,91.94395796847635,24.86865148861646,146.58493870402802,0.09961315280464211
30528,0.05764460369334961,0.03986573287472546,0.016741950188554143,0.1990392313851081,0.1375089992800576,0.3495878812882858,0.01896279270219796,7.530647985989492,51.48861646234676,55.516637478108585,52.714535901926446,35.02626970227671,51.66374781085814,28.546409807355516,282.4868651488616,0.3497743391360411
