ZIPCODE,B02001e1,B02001e2,C16001e1,C16001e3,C16001e5,B17001e1,B17001e2,B22003e1,B22003e2,B24011e1,B24011e19,B992521e1,B992521e2
30126,72908.0,31182.0,67269.0,10607.0,5337.0,72638.0,9780.0,26760.0,3564.0,374910.0,119285.0,18511.0,375.0
30127,115764.0,65333.0,108350.0,8188.0,2983.0,115209.0,10662.0,38856.0,3876.0,741440.0,191893.0,31582.0,846.0
30132,84840.0,65311.0,78629.0,2526.0,657.0,83590.0,9316.0,28054.0,3563.0,336242.0,73195.0,21423.0,929.0
30134,76191.0,43881.0,71649.0,4279.0,1602.0,75235.0,12692.0,25522.0,4827.0,390413.0,139463.0,18028.0,379.0
30135,83719.0,45725.0,78245.0,5456.0,2222.0,83260.0,9244.0,27495.0,2972.0,433845.0,66651.0,20553.0,547.0
30137,5417.0,4671.0,5135.0,279.0,69.0,5394.0,930.0,1883.0,371.0,32181.0,47000.0,1274.0,58.0
30139,141899.0,112897.0,133515.0,8730.0,4260.0,137983.0,29671.0,50805.0,8933.0,792739.0,552757.0,37297.0,1443.0
30141,63120.0,41847.0,58441.0,2845.0,538.0,62811.0,6638.0,21496.0,3112.0,274736.0,84179.0,16243.0,546.0
30143,193125.0,156648.0,181885.0,9033.0,4419.0,187276.0,35086.0,70140.0,10917.0,1111617.0,659725.0,52217.0,1896.0
30144,98161.0,67160.0,91760.0,6971.0,2361.0,94879.0,8718.0,35539.0,2171.0,573043.0,169725.0,22644.0,433.0
30145,242893.0,171959.0,228827.0,8321.0,3552.0,234799.0,50154.0,90519.0,17542.0,1858492.0,643300.0,62045.0,2287.0
30147,85448.0,64993.0,80709.0,3385.0,1396.0,84754.0,17114.0,32921.0,6109.0,659605.0,242882.0,21327.0,688.0
30148,120669.0,94675.0,113975.0,7272.0,3488.0,117010.0,23551.0,43435.0,7190.0,678066.0,456991.0,32342.0,1168.0
30149,26320.0,18303.0,25134.0,1850.0,1013.0,22160.0,4304.0,9209.0,1496.0,201723.0,54315.0,5695.0,75.0
30152,99645.0,75634.0,93623.0,6347.0,2207.0,96240.0,6264.0,34077.0,1767.0,577601.0,148487.0,26668.0,781.0
30153,272634.0,190684.0,255383.0,13684.0,6322.0,258378.0,53503.0,95041.0,18193.0,1641162.0,805451.0,64760.0,2547.0
30157,103277.0,77545.0,96596.0,3445.0,862.0,101952.0,11838.0,34329.0,4077.0,474269.0,140927.0,26931.0,1164.0
30161,235816.0,146010.0,222383.0,13567.0,6218.0,224246.0,59436.0,92119.0,19045.0,1912583.0,519856.0,45926.0,1245.0
30164,9851.0,7599.0,9071.0,97.0,1.0,9724.0,1605.0,3238.0,649.0,30232.0,26500.0,2246.0,41.0
30165,249424.0,178688.0,232907.0,30022.0,14734.0,242169.0,52164.0,94898.0,15550.0,1763398.0,542158.0,55881.0,1662.0
30168,59818.0,19884.0,55062.0,11173.0,5551.0,59613.0,13624.0,22115.0,5146.0,259910.0,143974.0,10588.0,294.0
30170,94196.0,69400.0,88608.0,2399.0,1041.0,92239.0,20005.0,35392.0,7045.0,606209.0,258052.0,23702.0,1200.0
30171,47533.0,42877.0,44469.0,2370.0,1125.0,47478.0,7385.0,17617.0,2607.0,251674.0,133529.0,13473.0,572.0
30173,80938.0,63853.0,76451.0,3599.0,1456.0,80228.0,15049.0,30894.0,5525.0,586142.0,230314.0,20157.0,587.0
30175,57979.0,52444.0,55437.0,2296.0,1072.0,56210.0,9385.0,22350.0,3001.0,327296.0,145596.0,16750.0,521.0
30176,161178.0,113706.0,150480.0,6836.0,3173.0,158247.0,33857.0,59026.0,11375.0,974654.0,406001.0,37893.0,1105.0
30177,5888.0,5498.0,5596.0,37.0,15.0,5888.0,458.0,2091.0,302.0,33921.0,0.0,1618.0,21.0
30178,73575.0,56496.0,70006.0,2741.0,1284.0,71160.0,13036.0,26610.0,4579.0,539188.0,240006.0,19532.0,612.0
30179,203662.0,138405.0,190527.0,7045.0,3307.0,199911.0,38274.0,73481.0,13610.0,1164745.0,470904.0,49410.0,1556.0
30180,89247.0,66803.0,83924.0,2348.0,632.0,88604.0,13833.0,31001.0,4909.0,380134.0,70196.0,23751.0,697.0
30182,83091.0,57773.0,77138.0,3802.0,1903.0,81960.0,18757.0,30700.0,6363.0,448894.0,170794.0,18456.0,479.0
30183,36373.0,31248.0,34132.0,725.0,275.0,35472.0,7374.0,13529.0,1997.0,239080.0,182266.0,9950.0,361.0
30184,86538.0,63530.0,80357.0,4244.0,1988.0,83772.0,14078.0,30626.0,4804.0,435347.0,142099.0,20596.0,933.0
30185,21463.0,17568.0,20220.0,950.0,467.0,20699.0,2125.0,7437.0,954.0,109314.0,27694.0,5692.0,94.0
30187,31066.0,21761.0,29302.0,1648.0,515.0,30753.0,3383.0,10719.0,1000.0,182357.0,29861.0,8368.0,189.0
30188,107645.0,91984.0,100620.0,6969.0,2918.0,107461.0,9341.0,38198.0,2189.0,499057.0,94497.0,29924.0,770.0
30189,50071.0,42475.0,47666.0,4124.0,1947.0,49574.0,4680.0,17810.0,1308.0,272623.0,64513.0,13298.0,419.0
